,"(((B,N),L),K)","(((B,N),K),L)","(B,N),(L,K)","(((B,L),N),K)","(((B,L),K),N)","(B,L),(N,K)","(((B,K),N),L)","(((B,K),L),N)","(B,K),(N,L)","(((N,L),B),K)","(((N,L),K),B)","(((N,K),B),L)","(((N,K),L),B)","(((L,K),B),N)","(((L,K),N),B)",Non-monophyletic,Poor-resolution,name,disp,ne,time,int
archsim_m100_n100000_e200000_i200000_mak,0,0,40,4,0,0,0,0,0,0,0,0,0,0,0,3,3,archsim_m100_n100000_e200000_i200000_mak,100,100000,200000,200000
archsim_m10_n50000_e1600000_i400000_mak,1,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,archsim_m10_n50000_e1600000_i400000_mak,10,50000,1600000,400000
archsim_m40_n100000_e3200000_i200000_mak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,39,archsim_m40_n100000_e3200000_i200000_mak,40,100000,3200000,200000
archsim_m15_n200000_e1600000_i200000_mak,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,archsim_m15_n200000_e1600000_i200000_mak,15,200000,1600000,200000
archsim_m30_n200000_e400000_i100000_mak,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,archsim_m30_n200000_e400000_i100000_mak,30,200000,400000,100000
archsim_m100_n100000_e1600000_i25000_mak,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,1,4,archsim_m100_n100000_e1600000_i25000_mak,100,100000,1600000,25000
archsim_m50_n100000_e400000_i200000_mak,4,0,4,32,0,0,0,0,0,0,0,0,0,0,0,3,7,archsim_m50_n100000_e400000_i200000_mak,50,100000,400000,200000
archsim_m0.0001_n50000_e400000_i50000_mak,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,archsim_m0.0001_n50000_e400000_i50000_mak,00001,50000,400000,50000
archsim_m0.0001_n200000_e1600000_i50000_mak,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,archsim_m0.0001_n200000_e1600000_i50000_mak,00001,200000,1600000,50000
archsim_m80_n200000_e3200000_i50000_mak,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,1,5,archsim_m80_n200000_e3200000_i50000_mak,80,200000,3200000,50000
archsim_m40_n100000_e400000_i50000_mak,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,archsim_m40_n100000_e400000_i50000_mak,40,100000,400000,50000
archsim_m15_n100000_e1600000_i50000_mak,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,archsim_m15_n100000_e1600000_i50000_mak,15,100000,1600000,50000
archsim_m60_n200000_e200000_i50000_mak,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,archsim_m60_n200000_e200000_i50000_mak,60,200000,200000,50000
